Priority,Type,Slug afectado,Redirect from,Redirect to,Último rastreo GSC
P1,collection,climatizacion-camper,/collections/climatizacion-camper,/collections/climatizacion-frio-claraboyas-caravana,2026-02-25
P1,collection,cocina-gas-neveras,/collections/cocina-gas-neveras,/collections/cocina-gas,2026-04-16
P1,collection,protector-para-cabina,/collections/protector-para-cabina,/collections/seguridad-antirrobo,2026-01-09
P2,collection,accesorios-para-portabicis,/en-be/collections/accesorios-para-portabicis,/collections/acampada-exteriores,2026-03-07
P2,collection,cocina,/en-be/collections/cocina,/collections/cocina-gas,2026-05-04
P2,collection,dometic,/en-be/collections/dometic,/collections/climatizacion-frio-aires-acondicionados,2026-03-11
P2,collection,escaleras,/en-be/collections/escaleras,/collections/acceso-movilidad-exterior-escalones-manuales,2026-05-04
P2,collection,escalones-electricos,/en-be/collections/escalones-electricos,/collections/acceso-movilidad-exterior-escalones-manuales,2026-05-06
P2,collection,reguladores,/en-be/collections/reguladores,/collections/cocina-gas,2026-02-19
P2,collection,soporte-tv,/en-be/collections/soporte-tv,/collections/tv-antenas,2026-03-01
P2,collection,van-lock,/en-be/collections/van-lock,/collections/seguridad-antirrobo-cerraduras-exteriores,2026-04-24
P2,collection,protector-para-cabina,/en-eu/collections/protector-para-cabina,/collections/seguridad-antirrobo,2026-04-25
P2,collection,climatizacion-camper,/es-eu/collections/climatizacion-camper,/collections/climatizacion-frio-claraboyas-caravana,2026-03-06
P2,collection,neveras,/es-eu/collections/neveras,/collections/climatizacion-frio-aires-acondicionados,2026-04-18
P2,collection,protector-para-cabina,/es-eu/collections/protector-para-cabina,/collections/seguridad-antirrobo,2026-04-01
P2,collection,climatizacion-camper,/fr-be/collections/climatizacion-camper,/collections/climatizacion-frio-claraboyas-caravana,2026-02-07
P2,collection,cocina-gas-neveras,/fr-fr/collections/cocina-gas-neveras,/collections/cocina-gas,2026-04-20
P2,collection,protector-para-cabina,/fr-fr/collections/protector-para-cabina,/collections/seguridad-antirrobo,2026-04-23
P2,collection,climatizacion-camper,/it-it/collections/climatizacion-camper,/collections/climatizacion-frio-claraboyas-caravana,2026-03-07
P2,collection,cocina-gas-neveras,/it-it/collections/cocina-gas-neveras,/collections/cocina-gas,2026-05-08
P2,collection,neveras,/it-it/collections/neveras,/collections/climatizacion-frio-aires-acondicionados,2026-04-24
P2,collection,neveras,/nl-nl/collections/neveras,/collections/climatizacion-frio-aires-acondicionados,2026-04-29
