Consultas principales,Clics,Impresiones,CTR,Posición
openair,1,472,0.0021,7.18
thule van lock,5,465,0.0108,8.11
heo safe,2,409,0.0049,8.54
truma warmwasserboiler wohnwagen,3,262,0.0115,8.06
truma therme wohnwagen,0,247,0.0,7.67
eva fiamma,0,216,0.0,5.06
caravan,0,206,0.0,8.98
turbovent,1,197,0.0051,9.37
campana extractora autocaravana 12v,3,179,0.0168,8.98
therme wohnwagen,0,165,0.0,8.21
fiamma level up,1,161,0.0062,9.35
cbe 516,1,152,0.0066,6.62
fiamma safe door,4,141,0.028399999999999998,6.9
base giratoria fiat ducato,1,109,0.0092,9.13
ufo meroni,1,106,0.009399999999999999,7.27
truma durchlauferhitzer wohnwagen,0,99,0.0,7.71
truma wassertherme,0,97,0.0,9.9
marche pied thule électrique,0,96,0.0,8.8
wohnwagen therme,0,89,0.0,9.2
cerradura de seguridad ufo,0,87,0.0,9.83
heosafe 12656,1,77,0.013000000000000001,8.38
calzos milenco quattro,0,75,0.0,8.29
autocaravanas mataro,0,72,0.0,7.01
openair plus,2,70,0.0286,5.79
"""08710315995244""",0,66,0.0,1.0
thetford porta potti 565p () reviews,0,66,0.0,6.85
heosafe ducato,0,65,0.0,9.15
alko prosafe,1,65,0.0154,8.74
base giratoria asiento fiat ducato,1,64,0.015600000000000001,6.33
"""08710315025811""",0,62,0.0,1.0
"""08710315995497""",0,62,0.0,1.0
"""08004815407339""",0,61,0.0,1.0
cbe516,1,61,0.016399999999999998,7.26
"""08710315995404""",0,60,0.0,1.0
warmwasser therme,0,60,0.0,7.3
truma heizung warmwasser,1,60,0.0167,9.48
"""08004815420758""",0,60,0.0,1.0
"""05999024872722""",0,59,0.0,1.0
antirrobo caravana con estabilizador,1,58,0.0172,7.9
eva,0,58,0.0,8.22
"""08710315018509""",0,55,0.0,1.0
"""08710315030686""",0,55,0.0,1.0
fiamma vent 50,1,54,0.018500000000000003,9.52
"""05060101830512""",0,54,0.0,1.0
van lock,0,51,0.0,7.43
