título	id	precio	estado	disponibilidad	canal	etiqueta de feed	idioma	categoría en google product	checkout link template	color	coste de bienes vendidos	descripción	diseño	edad	enlace	enlace imagen	enlace imagen adicional	envío(país envío)	existe identificador	gtin	identificador de grupo	marca	merchant item id	modification info(modification source:modifier)	mpn	peso de embarque	product detail(attribute name:attribute value:section name)	rating average	rating count	sell on google quantity	sexo	sku	tipo producto	todos los clics
Meroni UFO AUTO Classic van lock - Pack of 2 locks	8735675482454_8080332315d	198.03 EUR	nuevo	en stock	online	ES	en		https://evacaravan.com/en/cart/add?id=47671225418070&quantity=1			"The Meroni UFO Auto Classic lock offers maximum security for vans. It features a robust anti-theft system, automatic locking, and a stainless steel design."			https://evacaravan.com/en/products/lock-meroni-ufo-auto-classic?variant=47671225418070	https://evacaravan.com/cdn/shop/files/meroni-ufo-auto-classic-detalle-mecanismo.jpg?v=1764147879		ES		08003601626688	8735675482454	MERONI												0
Antivol Daken Saturn Go Black pour Fourgonnette - Individuel	10360221270358_84020	100.00 EUR	nuevo	en stock	online	FR	fr		https://evacaravan.com/fr-fr/cart/add?id=53204343161174&quantity=1			"Antivol Daken Saturn Go Black pour fourgonnette aménagée. EN 1303:2015, Sold Secure Silver. Pack individuel ou double. Achetez-le chez Eva Caravan."			https://evacaravan.com/fr-fr/products/antivol-daken-saturn-go-black-fourgonnette?variant=53204343161174	https://evacaravan.com/cdn/shop/files/daken-saturn-go-black-cerradura-furgoneta-1.jpg?v=1777298704	https://evacaravan.com/cdn/shop/files/daken-saturn-go-black-cerradura-furgoneta-1_1200x1200.jpg?v=1777298704	FR		08056446671931	10360221270358	Daken												0
Mover Enduro EM313A: Manejo automático y preciso	shopify_ES_9231242428758_49025094287702	1315.00 EUR		en stock	online	ES	es	8228			600.00 EUR	"Mover Enduro EM313A, asistente de maniobra automático para caravanas de doble eje. Ofrece control preciso, potencia y seguridad en los desplazamientos."			https://evacaravan.com/products/mover-enduro-em313a-asistente-maniobra-caravana-doble-eje?variant=49025094287702&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/pack-mover-enduro-em313A.jpg?v=1769524675	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/pack-mover-enduro-em313A-bateria.jpg?v=1769526423,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/mover-enduro-em313A-dargador-bateria.jpg?v=1769526423,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/mover-enduro-em313A-centralita-control-caravana.jpg?v=1769526423,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/Caja_portabateria_EM313A.jpg?v=1769526423,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/mover-enduro-em313A-mando-control-remoto-caravana.jpg?v=1769526423,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/mover-enduro-em313A-maniobra-360-grados-caravana.jpg?v=1769526423		sí	3700628272274		Enduro Technology	gid://shopify/ProductVariant/49025094287702	third party shopify:third party syncing		0 kg				4		EM313A	Movers	0
Thule Slide Out 400mm elektrische Trittstufe	4282486700533813334	332.22 EUR	nuevo	en stock	online	AT	de		https://evacaravan.com/de-at/cart/add?id=42203603239074&quantity=1			"Die elektrische Trittstufe Thule Slide Out (400 mm) bietet bequemen und sicheren Zugang zu Ihrem Fahrzeug. Kompaktes Design, leichtgängiges Ausziehen und einfache Montage."			https://evacaravan.com/de-at/products/thule-slide-out-elektrische-trittstufe-400-mm	https://evacaravan.com/cdn/shop/files/escalon-electrico-thule-slide-out-400mm-autocaravana.jpg?v=1764167842		AT		05415182065153	7516393701538	Thule						5	1					0
Cerradura Daken Saturn Go Black para furgoneta | Eva Caravan Doble	shopify_ES_10360221270358_53204343193942	179.00 EUR		en stock	online	ES	es	8303				"Cerradura antirrobo Daken Saturn Go Black para furgoneta camper. EN 1303:2015, Sold Secure Silver. Pack individual o doble. Cómprala en Eva Caravan."			https://evacaravan.com/products/cerradura-antirrobo-daken-saturn-go-black-furgoneta?variant=53204343193942&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/daken-saturn-go-black-cerradura-furgoneta-1.jpg?v=1777298704	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/daken-saturn-go-black-pack-doble.jpg?v=1777298707,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/daken-saturn-go-black-dibujo-tecnico-dimensiones.jpg?v=1777298714,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/daken-saturn-go-black-instalacion-puerta-trasera.jpg?v=1777298726,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/daken-saturn-go-black-instalacion-puerta-lateral.jpg?v=1777298732,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/daken-saturn-go-black-cilindro-defender-detalle.jpg?v=1777298738,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/daken-saturn-go-black-furgoneta-camper-panoramica.jpg?v=1777298743,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/PHOTO-2025-11-26-22-04-14_1.jpg?v=1777298783,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/PHOTO-2025-11-26-22-04-14_4.jpg?v=1777298784,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/PHOTO-2025-11-26-22-04-14.jpg?v=1777298783,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/SaturnGo_frontale_black.jpg?v=1777298784,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/Saturn_Go_inclinato_black.jpg?v=1777298784,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/Chiave_SaturnGo.jpg?v=1777298783,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/p04_full_page_9b9deaf3-610b-45f7-aa61-da57ccb3b5a6.jpg?v=1777298784,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/p05_full_page_837345c0-7727-4bbf-8971-cd32ef248eaa.jpg?v=1777298784,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/p02_full_page_03d83f72-1d57-4959-975d-8666f137927a.jpg?v=1777298784,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/p03_full_page_159bd62a-7f48-4c72-b054-20a30499f4a7.jpg?v=1777298784,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/PHOTO-2025-11-26-22-04-13.jpg?v=1777298783		sí	8056446671948	shopify_ES_10360221270358	Daken	gid://shopify/ProductVariant/53204343193942	third party shopify:third party syncing		0 kg	modelo:Doble:Variant			1		84021	Cerraduras	0
Dometic Mini Heki 43-60 mm sin ventilación forzada	shopify_ES_9224981479766_49001972236630	182.50 EUR		en stock	online	ES	es	2805			108.47 EUR	"Claraboya Dometic Mini Heki 43-60 mm: doble acristalamiento, 3 posiciones y apertura 50°. Con oscurecedor plisado y mosquitera."			https://evacaravan.com/products/dometic-mini-heki-43-60-mm-sin-ventilacion-forzada?variant=49001972236630&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/dometic-mini-heki-43-60mm-claraboya-cerrada-cupula-transparente.jpg?v=1765879747	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/dometic-mini-heki-43-60mm-claraboya-abierta-cupula-transparente.jpg?v=1765879771,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/dometic-mini-heki-43-60mm-marco-interior-mosquitera.jpg?v=1765879794,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/dometic-mini-heki-43-60mm-marco-interior-oscurecedor-cerrado.jpg?v=1765879816,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/dometic-mini-heki-43-60mm-marco-interior-oscurecedor-plisado.jpg?v=1765879838		sí	7315091516563		Dometic	gid://shopify/ProductVariant/49001972236630	third party shopify:third party syncing		0 kg						15938730	Claraboyas	0
Rueda Jockey AL-KO Premium 48 mm 300 kg con suspensión	shopify_ES_9082470695254_48582559170902	141.96 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/rueda-jockey-al-ko-premium-48mm-300kg?variant=48582559170902&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					4003718039009														0
Milenco Dreifach-Nivellierkeile – Set mit 2 Nivellierkeilen für Wohnmobile und Wohnwagen	15944956	66.70 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de/cart/add?id=48995462250838&quantity=1			"Milenco Dreifach-Nivellierkeile, Set mit 2 Nivellierkeilen für Wohnmobile und Wohnwagen. Sie bieten hohe Stabilität, drei Höheneinstellungen und sind einfach zu bedienen."			https://evacaravan.com/de/products/milenco-dreifach-nivellierkeile-set-mit-2-nivellierkeilen-fuer-wohnmobile-und-wohnwagen	https://evacaravan.com/cdn/shop/files/milenco-calzo-triple-nivelacion-autocaravana-caravana-1.jpg?v=1764260451		DE		05060101832936	9223503413590	Milenco												0
Meroni UFO3 SMART DUO Weißes Van-Schloss - 1 Schloss	8735886278998_8090s212pb	151.64 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de-de/cart/add?id=47671604314454&quantity=1			"Das Meroni UFO3 Smart Duo White Schloss bietet maximale Sicherheit für Transporter. Automatische Verriegelung, modernes Design und intelligentes Diebstahlsicherungssystem."			https://evacaravan.com/de-de/products/meroni-ufo3-smart-duo-weisses-van-schloss?variant=47671604314454	https://evacaravan.com/cdn/shop/files/meroni-ufo3-smart-duo-blanco-vista-frontal.jpg?v=1771408137		DE		08003601693260	8735886278998	MERONI												0
Acoplamiento AL-KO AK 301: Conexión Firme para Tu Remolque	shopify_ES_9223542702422_48995630547286	109.44 EUR		en stock	online	ES	es	5613			47.29 EUR	"Acoplamiento AL-KO AK 301, seguro y resistente para remolques de hasta 3000 kg. Compatible con tubo redondo de 50 mm. Alta calidad AL-KO."			https://evacaravan.com/products/acoplamiento-al-ko-ak-301?variant=48995630547286&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/Acoplamiento_AL-KO_AK_301_3000_kg.jpg?v=1763998984	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/Acoplamiento_AL-KO_AK_301_3000_kg_con_todos_los_componentes.jpg?v=1763999003,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/Logo_oficial_de_la_marca_AL-KO.jpg?v=1772194648		sí	4003718036664		AL-KO	gid://shopify/ProductVariant/48995630547286	third party shopify:third party syncing		4 kg				1		1223715	Enganches de remolque	0
