BRACKET,KG_MIN,KG_MAX,GLS_RestoES,GLS_Portugal,DIF_PT,UPS_DE_FR_IT,UPS_Benelux,UPS_Pol_Chequia,UPS_Suecia_Austria_Irlanda
0-1,0,1,4.55,6.5,1.95,9.92,10.87,11.13,11.13
1-2,1,2,5.19,6.78,1.59,11.02,12.46,12.77,12.77
2-3,2,3,5.19,6.78,1.59,11.02,12.46,12.77,12.77
3-4,3,4,6.28,7.59,1.31,12.32,13.91,14.73,14.73
4-5,4,5,6.28,7.59,1.31,12.32,13.91,14.73,14.73
5-6,5,6,7.01,9.77,2.76,13.41,16.34,17.19,17.19
6-7,6,7,7.01,9.77,2.76,13.41,16.34,17.19,17.19
7-8,7,8,7.01,9.77,2.76,15.85,17.79,20.51,20.51
8-9,8,9,7.01,9.77,2.76,15.85,17.79,20.51,20.51
9-10,9,10,7.01,9.77,2.76,15.85,17.79,20.51,20.51
10-15,10,15,9.75,12.57,2.82,18.46,22.02,24.54,24.54
15-20,15,20,13.02,16.46,3.44,23.0,26.89,28.41,28.41
20-25,20,25,16.29,20.36,4.06,25.95,32.28,34.22,34.22
25-30,25,30,19.56,24.25,4.69,34.52,38.1,35.6,42.04
30-40,30,40,22.83,28.15,5.31,39.36,47.23,43.56,53.22
MOVER,40,+,29.84,37.92,8.07,62.36,74.11,71.97,81.63
