SKU,NOMBRE,KG_REAL,VOL_GLS_167,VOL_UPS_200,PESO_FACTURABLE_KG,PESO_FACTURABLE_GRAMOS,BRACKET_GLS,BRACKET_UPS
SACHETx1,Thetford Sachet,0.5,0.667,0.8,0.8,800,0-1,0-1
AQUAKEMBLUECONC,Thetford Aqua Kem Blue Concentrado,0.5,0.6,0.72,0.72,720,0-1,0-1
LAVANDA,Thetford Aqua Kem Blue Concentrado Lavanda,0.5,0.6,0.72,0.72,720,0-1,0-1
AQUARINSECONC,Thetford Aqua Rinse Concentrado,0.5,0.6,0.72,0.72,720,0-1,0-1
AQUAGREENCONC,Thetford Aqua Kem Green Concetrado,0.5,0.6,0.72,0.72,720,0-1,0-1
GREYWATERFRESH,Thetford Grey Water Fresh Concentrado,0.5,0.667,0.8,0.8,800,0-1,0-1
DUOTANKCLEANER,Thetford Duo Tank Cleaner Concentrado,0.5,0.6,0.72,0.72,720,0-1,0-1
TOILETBOWL,Thetford Toilet Bowl Cleaner,0.5,0.435,0.522,0.522,522,0-1,0-1
AQUARINSESPRAY,Thetford Aqua Rinse Spray,0.5,0.6,0.72,0.72,720,0-1,0-1
BATHROOMCLEANER,Thetford Bathroom Cleaner,0.5,0.6,0.72,0.72,720,0-1,0-1
LAVANDA+RINSE,Aqua Kem Blue Concentrado Lavanda + Aqua Rinse Concentrado,1.9,0.793,0.952,1.9,1900,1-2,1-2
15935944,Calzos Fiamma Level Up,3.1,3.0,3.6,3.6,3600,3-4,3-4
15935947,Calzos Fiamma Kit Level Up (97901-060),3.2,2.893,3.472,3.472,3472,3-4,3-4
15935948,Calzos Fiamma Kit Level Up Jumbo,3.8,4.352,5.222,5.222,5222,4-5,5-6
AQUAKBLUEx2,Thetford Aqua Kem Blue 2 litros x2,5.0,1.428,1.714,5.0,5000,4-5,4-5
AQUAKBLUEx3,Thetford Aqua Kem Blue 2 litros x3,7.4,1.989,2.387,7.4,7400,7-8,7-8
AQUAKBLUEx6,Thetford Aqua Kem Blue 2 litros x6,14.9,3.978,4.774,14.9,14900,10-15,10-15
SACHETSx2,Thetford Aqua Kem Blue Sachets x2,1.4,0.933,1.12,1.4,1400,1-2,1-2
SACHETSx3,Thetford Aqua Kem Blue Sachets x3,1.5,0.7,0.84,1.5,1500,1-2,1-2
SACHETSx4,Thetford Aqua Kem Blue Sachets x4,2.1,0.933,1.12,2.1,2100,2-3,2-3
SACHETSx5,Thetford Aqua Kem Blue Sachets x5,2.5,1.4,1.68,2.5,2500,2-3,2-3
SACHETSx6,Thetford Aqua Kem Blue Sachets x6,2.9,1.4,1.68,2.9,2900,2-3,2-3
928011,Truma Therme Recambio Deposito,1.6,4.875,5.85,5.85,5850,4-5,5-6
921003,Truma Therme 220V,3.1,4.875,5.85,5.85,5850,4-5,5-6
CK500,Dometic CK 500,3.8,7.042,8.45,8.45,8450,7-8,8-9
15935221,Truma Level Check,0.5,0.667,0.8,0.8,800,0-1,0-1
15939261,Truma Level Control,0.5,0.667,0.8,0.8,800,0-1,0-1
15935697,Reich Twin 19 litros,0.5,0.667,0.8,0.8,800,0-1,0-1
15937397,Reich Power Jet 22 litros,0.5,0.667,0.8,0.8,800,0-1,0-1
TANDEM,Reich Tandem 19 litros,0.9,0.667,0.8,0.9,900,0-1,0-1
916049,Fiamma Vaso Expansión A20,0.5,0.594,0.713,0.713,713,0-1,0-1
919552,Fiamma Aqua 8 7 litros,1.7,1.32,1.584,1.7,1700,1-2,1-2
919553,Fiamma Aqua 8 10 litros,1.8,1.32,1.584,1.8,1800,1-2,1-2
914510,Shurflo 7 litros,2.2,1.19,1.428,2.2,2200,2-3,2-3
915125,Shurflo 10 litros,2.1,1.19,1.428,2.1,2100,2-3,2-3
924308,Thetford puerta servicio 4,2.2,2.392,2.87,2.87,2870,2-3,2-3
924309,Thetford Puerta servicio 5,2.1,2.765,3.318,3.318,3318,2-3,3-4
15934922,Thetford puerta servicio 7,3.1,2.763,3.315,3.315,3315,3-4,3-4
PATIOMAT290,Fiamma Patio Mat 290,3.5,6.777,8.133,8.133,8133,6-7,8-9
PATIOMAT340,Fiamma Patio Mat 340,4.0,8.372,10.046,10.046,10046,8-9,10-15
PATIOMAT390,Fiamma Patio Mat 390,4.3,9.52,11.424,11.424,11424,9-10,10-15
933807,Fiamma Patio Mat 440,5.0,7.875,9.45,9.45,9450,7-8,9-10
PATIOMAT490,Fiamma Patio Mat 490,5.1,9.996,11.995,11.995,11995,9-10,10-15
COVER TOP,Fiamma Cover Top,6.7,5.434,6.521,6.7,6700,6-7,6-7
15934697,Fiamma Bike Cover S 4 Bikes,1.3,1.25,1.5,1.5,1500,1-2,1-2
15934535,Fiamma Converglass XL Ducato (06344-01-),3.2,2.966,3.559,3.559,3559,3-4,3-4
SECURITY31,Fiamma Security 31 (921891),1.5,2.042,2.45,2.45,2450,2-3,2-3
