SKU,EAN,NOMBRE,ESTADO,COMPRA,BR_GLS,BR_UPS,MARGEN_FR,NETO_ES_PT,PVP_ES(21%),PVP_PT(23%),PVP_DE(19%),PVP_FR(20%),PVP_IT(22%),"PVP_BX(21%,env.incl)","PVP_EU(ref21%,SIN env.)"
SACHETx1,8710315030686,Thetford Sachet,NO PUBLICADO,8.74,0-1,0-1,0.15,16.52,20.0,20.33,24.87,25.08,25.51,26.44,13.27
AQUAKEMBLUECONC,8710315025811,Thetford Aqua Kem Blue Concentrado,NO PUBLICADO,8.76,0-1,0-1,0.15,15.55,18.81,19.12,24.9,25.11,25.54,26.47,13.29
LAVANDA,8710315025958,Thetford Aqua Kem Blue Concentrado Lavanda,NO PUBLICADO,8.76,0-1,0-1,0.15,15.55,18.81,19.12,24.9,25.11,25.54,26.47,13.29
AQUARINSECONC,8710315995305,Thetford Aqua Rinse Concentrado,NO PUBLICADO,7.02,0-1,0-1,0.15,13.44,16.26,16.53,22.39,22.58,22.97,23.92,10.74
AQUAGREENCONC,8710315995244,Thetford Aqua Kem Green Concetrado,NO PUBLICADO,8.29,0-1,0-1,0.15,14.98,18.12,18.42,24.22,24.43,24.85,25.78,12.6
GREYWATERFRESH,8710315995404,Thetford Grey Water Fresh Concentrado,NO PUBLICADO,5.96,0-1,0-1,0.15,12.15,14.7,14.95,20.86,21.04,21.4,22.36,9.19
DUOTANKCLEANER,8710315995497,Thetford Duo Tank Cleaner Concentrado,NO PUBLICADO,6.39,0-1,0-1,0.15,12.67,15.33,15.59,21.48,21.66,22.04,22.99,9.82
TOILETBOWL,8710315018509,Thetford Toilet Bowl Cleaner,NO PUBLICADO,4.72,0-1,0-1,0.15,10.65,12.88,13.1,19.07,19.23,19.56,20.54,7.37
AQUARINSESPRAY,8710315995787,Thetford Aqua Rinse Spray,NO PUBLICADO,3.31,0-1,0-1,0.15,8.94,10.81,10.99,17.03,17.18,17.48,18.47,5.3
BATHROOMCLEANER,8710315992090,Thetford Bathroom Cleaner,NO PUBLICADO,3.31,0-1,0-1,0.15,8.94,10.81,10.99,17.03,17.18,17.48,18.47,5.3
LAVANDA+RINSE,,Aqua Kem Blue Concentrado Lavanda + Aqua Rinse Concentrado,NO PUBLICADO,15.78,1-2,1-2,0.15,24.7,29.89,30.38,36.33,36.65,37.28,38.71,23.6
15935944,8004815313234,Calzos Fiamma Level Up,NO PUBLICADO,17.02,3-4,3-4,0.2,29.07,35.17,35.75,42.23,42.59,43.32,45.02,27.06
15935947,8004815407339,Calzos Fiamma Kit Level Up (97901-060),NO PUBLICADO,22.9,3-4,3-4,0.2,36.66,44.35,45.09,51.25,51.7,52.59,54.21,36.24
15935948,8004815407339,Calzos Fiamma Kit Level Up Jumbo,NO PUBLICADO,30.93,4-5,5-6,0.2,47.02,56.9,57.84,64.97,65.53,66.66,69.87,48.78
AQUAKBLUEx2,8710315000429,Thetford Aqua Kem Blue 2 litros x2,NO PUBLICADO,17.24,4-5,4-5,0.175,28.43,34.4,34.97,41.23,41.59,42.31,43.95,26.54
AQUAKBLUEx3,8710315000429,Thetford Aqua Kem Blue 2 litros x3,NO PUBLICADO,25.86,7-8,7-8,0.175,39.96,48.35,49.15,58.4,58.9,59.92,61.83,39.59
AQUAKBLUEx6,8710315000429,Thetford Aqua Kem Blue 2 litros x6,NO PUBLICADO,51.72,10-15,10-15,0.175,75.14,90.92,92.42,100.08,100.95,102.68,106.26,78.72
SACHETSx2,8710315030686,Thetford Aqua Kem Blue Sachets x2,NO PUBLICADO,17.48,1-2,1-2,0.175,27.6,33.4,33.95,40.0,40.35,41.04,42.49,26.91
SACHETSx3,8710315030686,Thetford Aqua Kem Blue Sachets x3,NO PUBLICADO,26.22,1-2,1-2,0.175,38.53,46.62,47.39,53.0,53.46,54.38,55.72,40.13
